Year,av_annual_t,av_5_annual_t,Annual_lower_anomaly,Annual_upper_anomaly
1885,-0.23970833333333333,-0.27370833333333333,-0.6586666666666666,0.17925000000000002
1886,-0.22954166666666662,-0.2520833333333334,-0.6113333333333334,0.15225
1887,-0.23099999999999998,-0.20862499999999998,-0.6114166666666668,0.14941666666666664
1888,-0.12154166666666667,-0.2133333333333333,-0.37899999999999995,0.13591666666666669
1889,-0.08991666666666666,-0.21162499999999998,-0.31016666666666665,0.13033333333333333
1890,-0.25933333333333336,-0.20929166666666665,-0.6363333333333333,0.11766666666666663
1891,-0.2194583333333333,-0.216875,-0.5594166666666667,0.12049999999999998
1892,-0.22966666666666669,-0.23200000000000007,-0.5850833333333334,0.12575
1893,-0.17245833333333335,-0.20604166666666665,-0.47325,0.12833333333333333
1894,-0.15695833333333334,-0.183875,-0.43858333333333327,0.12466666666666666
1895,-0.13358333333333336,-0.15208333333333332,-0.40208333333333335,0.1349166666666667
1896,-0.11462499999999999,-0.1366666666666667,-0.35716666666666663,0.12791666666666668
1897,-0.07258333333333333,-0.10695833333333336,-0.2913333333333333,0.14616666666666667
1898,-0.10333333333333335,-0.06525000000000002,-0.375,0.16833333333333333
1899,-0.014708333333333332,-0.03441666666666668,-0.19166666666666665,0.16225
1900,0.06479166666666666,-0.03258333333333333,-0.034166666666666665,0.16374999999999998
1901,0.04029166666666666,-0.04691666666666667,-0.03666666666666667,0.11725000000000001
1902,-0.0715,-0.08437500000000002,-0.26991666666666664,0.12691666666666665
1903,-0.17354166666666668,-0.11670833333333334,-0.48375000000000007,0.13666666666666666
1904,-0.19754166666666664,-0.13875,-0.5285833333333333,0.13349999999999998
1905,-0.09716666666666668,-0.16425000000000003,-0.34225,0.14791666666666667
1906,-0.078375,-0.16191666666666668,-0.276,0.11924999999999998
1907,-0.20624999999999996,-0.15025,-0.5386666666666667,0.12616666666666665
1908,-0.1597916666666667,-0.15574999999999997,-0.4531666666666667,0.1335833333333333
1909,-0.13420833333333335,-0.167125,-0.39133333333333337,0.12291666666666666
1910,-0.12741666666666665,-0.15658333333333332,-0.3758333333333334,0.121
1911,-0.14304166666666665,-0.14175000000000001,-0.3985000000000001,0.11241666666666668
1912,-0.15754166666666666,-0.10479166666666666,-0.4357499999999999,0.12066666666666669
1913,-0.07883333333333335,-0.07295833333333333,-0.26866666666666666,0.111
1914,0.05208333333333334,-0.06854166666666667,-0.0007500000000000016,0.10491666666666667
1915,0.034124999999999996,-0.08258333333333333,-0.05316666666666666,0.12141666666666669
1916,-0.12404166666666666,-0.10345833333333336,-0.3810833333333333,0.133
1917,-0.2253333333333333,-0.12533333333333332,-0.58175,0.13108333333333336
1918,-0.17441666666666666,-0.14166666666666666,-0.4650000000000001,0.11616666666666668
1919,-0.04704166666666667,-0.12312499999999997,-0.20466666666666666,0.11058333333333333
1920,-0.05058333333333334,-0.09050000000000001,-0.2148333333333333,0.11366666666666668
1921,-0.02941666666666666,-0.06420833333333334,-0.16358333333333333,0.10475000000000001
1922,-0.05808333333333332,-0.05383333333333334,-0.223,0.10683333333333334
1923,-0.043583333333333335,-0.03625000000000001,-0.2101666666666667,0.123
1924,-0.00583333333333333,-0.02108333333333333,-0.13299999999999998,0.12133333333333335
1925,0.029875000000000002,-0.011458333333333334,-0.048666666666666664,0.10841666666666666
1926,0.04220833333333333,-0.009083333333333332,-0.012666666666666658,0.09708333333333334
1927,-0.003583333333333331,-0.03220833333333333,-0.11025000000000001,0.10308333333333335
1928,-0.025583333333333333,-0.0385,-0.14983333333333335,0.09866666666666667
1929,-0.120125,-0.02937500000000001,-0.3411666666666666,0.10091666666666665
1930,-0.00845833333333333,-0.02320833333333333,-0.13716666666666666,0.12025000000000002
1931,0.081125,-0.036125,0.05216666666666667,0.11008333333333332
1932,0.026125000000000006,-0.012666666666666668,-0.051416666666666666,0.10366666666666667
1933,-0.09033333333333332,-0.022250000000000002,-0.27441666666666664,0.09375
1934,-0.005583333333333333,-0.04433333333333333,-0.11391666666666667,0.10275000000000001
1935,-0.05391666666666667,-0.03308333333333334,-0.20491666666666672,0.09708333333333334
1936,-0.025958333333333333,0.008374999999999999,-0.14883333333333335,0.09691666666666665
1937,0.081,0.023749999999999993,0.044333333333333336,0.11766666666666666
1938,0.11779166666666664,0.055041666666666655,0.13075,0.10483333333333335
1939,0.07483333333333335,0.07591666666666667,0.056583333333333326,0.09308333333333334
1940,0.102875,0.06845833333333333,0.113,0.09274999999999999
1941,0.07920833333333334,0.06408333333333334,0.069,0.08941666666666664
1942,0.045625,0.06716666666666668,0.0032500000000000007,0.08799999999999998
1943,0.09700000000000002,0.050749999999999997,0.10808333333333332,0.08591666666666666
1944,0.09329166666666665,0.041874999999999996,0.10216666666666668,0.08441666666666664
1945,0.021583333333333333,0.048499999999999995,-0.03974999999999999,0.08291666666666665
1946,0.03554166666666666,0.04154166666666667,-0.015916666666666666,0.08699999999999998
1947,0.07849999999999999,0.01641666666666667,0.07291666666666666,0.08408333333333333
1948,0.06104166666666666,-0.00875,0.043750000000000004,0.07833333333333332
1949,-0.0365,-0.013875000000000005,-0.15066666666666667,0.07766666666666665
1950,-0.11000000000000003,-0.015875,-0.29025,0.07024999999999999
1951,0.00883333333333333,-0.013291666666666669,-0.04708333333333336,0.06475000000000002
1952,0.070125,-0.005458333333333333,0.06449999999999999,0.07574999999999998
1953,0.07345833333333333,0.01479166666666667,0.06841666666666667,0.07849999999999999
1954,0.0015833333333333335,-0.01595833333333333,-0.06475,0.06791666666666667
1955,-0.01245833333333333,-0.02304166666666667,-0.081,0.056083333333333346
1956,-0.1465,-0.023500000000000004,-0.3401666666666667,0.04716666666666666
1957,0.030583333333333337,-0.015416666666666667,0.011500000000000005,0.04966666666666666
1958,0.06283333333333334,-0.015833333333333335,0.09750000000000002,0.028166666666666673
1959,0.028749999999999987,0.029541666666666664,0.03549999999999998,0.022000000000000002
1960,-0.015583333333333338,0.030791666666666676,-0.06083333333333334,0.029666666666666664
1961,0.08166666666666665,0.03304166666666667,0.12683333333333333,0.0365
1962,0.034,0.011291666666666665,0.035583333333333335,0.03241666666666667
1963,0.07670833333333334,0.001791666666666666,0.10775,0.04566666666666667
1964,-0.07533333333333334,-0.015375,-0.18850000000000003,0.03783333333333334
1965,-0.06041666666666667,-0.01879166666666667,-0.15691666666666665,0.036083333333333335
1966,-0.0030833333333333338,-0.04716666666666667,-0.0395,0.03333333333333335
1967,0.015625,-0.03275000000000001,0.014333333333333332,0.016916666666666667
1968,-0.07104166666666667,-0.012041666666666668,-0.1709166666666667,0.02883333333333334
1969,-0.006541666666666669,-0.018749999999999996,-0.03875000000000001,0.02566666666666667
1970,0.03758333333333332,-0.018958333333333337,0.05083333333333334,0.024333333333333332
1971,-0.04379166666666667,0.013541666666666667,-0.11108333333333333,0.023499999999999997
1972,0.011124999999999998,0.012458333333333335,0.001416666666666661,0.02083333333333333
1973,0.1025,0.012166666666666666,0.17908333333333337,0.02591666666666666
1974,-0.0018750000000000017,0.006291666666666665,-0.045250000000000005,0.041499999999999995
1975,0.035583333333333335,0.027916666666666673,0.031916666666666656,0.03924999999999999
1976,-0.068375,0.015791666666666666,-0.17850000000000002,0.04175
1977,0.11666666666666668,0.03145833333333333,0.20075,0.032583333333333346
1978,0.036,0.07045833333333333,0.052666666666666646,0.01933333333333333
1979,0.07208333333333333,0.12712500000000002,0.11633333333333333,0.02783333333333334
1980,0.23487500000000006,0.12079166666666667,0.43450000000000005,0.03525
1981,0.21687500000000004,0.1537916666666667,0.40708333333333324,0.026666666666666672
1982,0.08895833333333332,0.15645833333333337,0.15125,0.026666666666666672
1983,0.19316666666666663,0.12404166666666668,0.34641666666666665,0.03991666666666666
1984,0.07395833333333333,0.10695833333333332,0.12091666666666667,0.027000000000000007
1985,0.06029166666666667,0.12920833333333334,0.10049999999999999,0.02008333333333333
1986,0.13212500000000002,0.14754166666666668,0.23558333333333334,0.028666666666666674
